Questions,KCCAns
Government Schemes: Others - ASKED ABOUT SMS ACTIVATION ?,sms scheme is activated on your mobile number
Plant Protection: Bengal Gram (Gram/Chick Pea/Kabuli/Chana) - variety of gram ?,"vijay , digvijay , virat"
Plant Protection: Ginger - Blight Attack?,Spray Redomil Gold 30gm/15Lit of Water.
Nutrient Management: Sugarcane (Noble Cane) - foliar spray for sugarcane ?,foliar spray for sugarcane - 19;19;19 75gm + microla 30ml / 15 liter of water
Seeds and Planting Material: Cauliflower - varities of cauliflower,"varities of cauliflower = pawas, kimiya, barkha, megha, snowball"
Plant Protection: Sugarcane (Noble Cane) - attack of wooly aphid ?,spray lancer gold 8 ml / 15 lite of water for sugarcane
Cultural Practices: Onion - weedd control,gol
Plant Protection: Tomato - Fungus Attack?,Confidor 6ml/15 Lit of Water.+Spray Bavistine 30gm/15lit of Water.
Plant Protection: Tomato - Attack of Fruit Borer?,Spray Proclaim 5gm/15lit of Water.
Seeds and Planting Material: Onion - varieties of onion?,"varities = fule safed, baswant"
Plant Protection: Chillies - Aphids Attack ?,Spray admire 5gm/15 lit of water.
Market Information: Maize (Makka) - sweet corn market rate,"sweet corn market rate not avialable contactMaharashtra State Agricultural Marketing Board R-7, Market Yard, Gultekadi, Pune 411 037. Maharashtra, India Tel: 020 24528100, 24522200"
Cultural Practices: Maize (Makka) - spacing,2*1 ft
Plant Protection: Maize (Makka) - Shoot Borer Attack ?,Messaile 15ml/15 Lit of Water.
Fertilizer Use and Availability: Onion - FERTILIZER DOSE?,APPLICATION OF FYM
Weather: Others - WEATHER REPORT?,"cloudy weather , no rainfall"
Plant Protection: Onion - Sucking Pest ?,actara 5 gm+ ridomil gold 30 gm/15 liter water
Plant Protection: Pomegranate - Asked About SMS Activation?,Your SMS Registration process successfully completed.
Plant Protection: Pomegranate - Attack of Thrips?,Spray Actra 5 gm/15 Lit of Water.
Plant Protection: Pomegranate - thrips attack,Spray Azadirictine 30 ml/15 Lit of Water
Plant Protection: Brinjal - Shoot Borer Attack ?,Spray Proclaim 5gm/15lit of Water.
Nutrient Management: Marigold - fertilizer dose for marygold,apply 10:26:26 1 bag + urea 30 kg + micronutrient 4 kg per acre
Plant Protection: Pomegranate - Sucking Pest?,Spray Confidor 10ml/15 Lit of Water.
Field Preparation: Others - WEATHER ?,"Partly cloudy, possibility with light rain."
Plant Protection: Pigeon pea (red gram/arhar/tur) - Fertilizer Dose,Spray 00-52-34 60 gm + microlla 30 ml /15lit of water.
Field Preparation: Sugarcane (Noble Cane) - STEM BORER ?,Spray Chloropyriphos 30ml/15 Lit of Water.
Plant Protection: Onion - ONION BLIGHT,Spray M-45 30 gm/15 Lit of Water.
"Disease Management: Bovine(Cow,Buffalo) - about dairy project",For strating dairy project you get loan from nabard
Plant Protection: Brinjal - Flower Drop?,Spray Boom flower 20ml/15lit of Water.
Plant Protection: Green Gram (Moong Bean/ Moong) - ATTACK OF SUCKING PEST?,Spray Confidor super / Confidor 10ml/15 Lit of Water.
Agriculture Mechanization: Others - Asked About SMS Activation,. Your SMS Registration process successfully completed
Plant Protection: Coconut - fruit drop of coconut,fruit drop of coconut = spray of bordo 1% in coconut. also apply boron 1 kg per plant
Plant Protection: Onion - about fertilizer dose,use 10.26.26 2 bag + 25 urea per acre for onion filed
Nutrient Management: Sugarcane (Noble Cane) - fertilizer dose for sugarcane at the time of plantation ?,fertilizer dose for sugarcane at the time of plantation- urea 76kg + singal supar phosphet 731 kg + potash 141 kg / hector
Plant Protection: Bhindi(Okra/Ladysfinger) - attack of blight on bhendi,spray of bavistin 15 gm + M 45 30 gm per pump on bhibdi
Plant Protection: Bitter Gourd - attack of sucking pest on bitter gourd ?,spray actra 5gm/ 15 liter of water for controlling whitefly on bitter gourd
Plant Protection: Tomato - thrips of tomato?,Spray Actra 5 gm/15 Lit of Water.
Agriculture Mechanization: Others - Asked About Weather Forecast?,"Cloudy weather, possibility of low rainfall."
Weather: Others - weather ?,"Partly cloudy, possibility with light rain."
Plant Protection: Banana - Fruit drop?,1.5 GA+50 lit alcohol +1 kg urea/100 lit water. Spraying
Plant Protection: Others - Asked About Weather report ?,"Partly cloudy, possibility of light rain"
Nutrient Management: Others - filling pit for plantation,apply potash 500 gm + SSP 500 gm + nem cake 500 gm per pit
Plant Protection: Onion - fertilizer on onion ?,19 19 19 / 0 52 34 60 gm + microlla 30 ml /15 litar .
Plant Protection: Others - Blight Attack? ?,Spray M-45 30 gm/15 Lit of Water.
"Weather: Others - Asked About Weather Forecast?,","Partly claudy, no chance of rain"
Plant Protection: Onion - sucking pest ?,Spray Rogar 15ml/15 Lit of Water.
Plant Protection: Amaranthus/Grain Amaranthus - ATTACK OF ROOT ROT?,DREANCHING OF HUMIC ACID + BAVISTIN
Plant Protection: Cowpea (Vegetable) - Attack of White Fly?,Spray Confidor super / Confidor 10ml/15 Lit of Water.
Plant Protection: Onion - Attack of fungus?,Spray Redomil Gold 30gm/15Lit of Water.
Plant Protection: Grape - all cultivation management,info given
