Questions,KCCAns
Plant Protection: Pomegranate - OIL SPOT DISEASE?,SPRAY BORDO MIXURE @ 1%
Market Information: Onion - market rate onion ?,RS 500-1500/qtl onion pune market
Fertilizer Use and Availability: Onion - Fertilizer Dose –,Spray 00-52-34 30gm/15lit of water.
Plant Protection: Pomegranate - attack of oily spot ?,spray bromofol 50gm + captan 500gm / 100 liter of water for pomegranate
Plant Protection: Pigeon pea (red gram/arhar/tur) - Attack of Caterpillar?,Spray Chloropyriphos 30ml/15 Lit of Water.
"Market Information: Cabbage - market rate of cabbage, onion, tomato",market rate = pune 1) cabbage - Rs 400 -700 per quintal 2) onion - Rs 500 - 1600 per quintal. 3) tomato - Rs 1000 - 2200 per quintal
Plant Protection: Pomegranate - thrips on pomo?,spinosad 0.30mili/liter favarave
Fertilizer Use and Availability: Others - fertilizer info.,00;52;34 wapar kara
Weather: Others - weather info.,cloudy weather
Plant Protection: Chillies - Flower Drop?,Spray Planofix 5ml/15 Lit of Water.
Fertilizer Use and Availability: Potato - Fertilizer spray-,Spray 00-52-34 30gm/15lit of water.
Plant Protection: Sugarcane (Noble Cane) - Attack of rust on sugarcane,Spray of Ridomil gold 30 gm / M 45 40 gm per pump on sugarcane
Weather: Others - weather of pune ?,cloudy weather condition
Plant Protection: Others - poltry subsidi,50% subsidy for poultry managemnt
Plant Protection: Tomato - Blight Attack?,Spray M-45 30 gm/15 Lit of Water.
Government Schemes: Others - Asked about SMS deactivation?,Your SMS deactivation done sucessfully.
Fertilizer Use and Availability: Potato - fertilizer dose potato ?,"50 kilo natra ,100 kilo palash , 100 kilo sfurad"
Plant Protection: Pomegranate - Oil spot disease?,Spray Bordeaux mixture(1.0%). Spray with Streptocycline (0.025%) in combination with Copper oxychloride (0.25%) or Carbendazim (0.15%) at 15 days interval for 5-6 times starting from leaf initiation stage.
Fertilizer Use and Availability: Pomegranate - fungs attak?,Blue copper - 40 gm/15 lit water .
Plant Protection: Sugarcane (Noble Cane) - Shoot Borer Attack?,Spray Nuwan 20ml/15Lit of Water.
Fertilizer Use and Availability: Brinjal - root fungs attak?,Humic Acid 30ml/15 Lit of Water Drenching.Redomil Gold 30gm/15Lit of Water.
Plant Protection: Sugarcane (Noble Cane) - control of caterpillar attack,spraying of chloropayrifos 30 ml / 15 liter water
Plant Protection: Sugarcane (Noble Cane) - stem borer attack?,Spray nuwan 20ml/15Lit of Water.
Agriculture Mechanization: Tomato - TOMATO VARIETIES,"TOMATO VARIETIES -ABINAV, NAINA"
Weather: Others - Asking about Weather Forecast ?,Sunny day no possibility of rain fall
Weather: Sugarcane (Noble Cane) - WEATHER INFORMATION,"CLOUDY WEATHER , NO RAIN CHANCES"
Weather: Others - Asking about Weather information?,Cloudy weather Possibility of High to Medium Rainfall
Plant Protection: Cotton (Kapas) - WEATHER IN PUNE,Cloudy weather Possibility of High to Medium Rainfall
Government Schemes: Banana - Govt. Schemes?,guide to visit TAO.
Plant Protection: Others - OPEN PLOT HERBICIDE----,OPEN PLOT HERBICIDE---- MEERA -71
Weather: Others - Weather Report?,"Partly cloudy, not Possibility of Rainfall"
Plant Protection: Bitter Gourd - Caterpillar Attack-,spray quinolphos 30 mili / 15 litre water
Fertilizer Use and Availability: Papaya - Flower Drop ?,Spray Plano fix 5ml/15 Lit of Water.
Plant Protection: Banana - SMS Activation-,Asked About SMS Activation?
Bio-Pesticides and Bio-Fertilizers: Tomato - TO CONTROL ATTACK OF SUCKING PEST ON TOMATO CROP,SPRAY DIMETHOATE (ROGER) 10 ML IN 10 LTR OF WATER TO CONTROL ATTACK OF SUCKING PEST ON TOMATO CROP
Plant Protection: Onion - Attack of Blight?,Spray Tilt 30gm/15 Lit of Water.
Weather: Others - asked about climatic condition,no possibility of light rain today
Plant Protection: Pomegranate - LEAVES DROPPING INFORMATION?,SPRAY ETHAREL 3 ML/LIT
Plant Protection: Pomegranate - Flower Drop?,Spray planofix 5 ml/15 lit + 00 52 34 5 gm/lit water. ?????????? ? ???? / 15???? ??????????? ???? ?????? ?????.Spray planofix 5 ml/15 lit + 00 52 34 5 gm/lit water. ?????????? ? ???? / 15???? ??????????? ???? ?????? ?????.
Seeds and Planting Material: Pomegranate - VERIETIES?,"P Granate- Ganesh, Bhagva, Mradula, Shendri, Arkta? ???? ,????"
Weather: Others - Weather Report .,"cloudy weather , chances of light no rainfall"
Government Schemes: Others - regarding registration for sms scheme,your registration is successful for kisan sms portal
Plant Protection: Soybean (bhat) - Attack of Fruit borer for soyabean,Spray of Decis 10 ml or proclem 10 gm or dunet 25 gm or corasan 5 ml per pump
Plant Protection: Pomegranate - Disease Attack - Blight?,Spray M-45 30 gm/15 Lit of Water.
Agriculture Mechanization: Amarphophallus (Surankand/Elephant Foot Yam) - WEATHER IN PUNE ?,Cloudy weather not possibility of light rain
Plant Protection: Sugarcane (Noble Cane) - attack of stem borer sugarcane,stem borer sugarcane - apply 8 kg / acre
Market Information: Onion - market rate of onion?,1500-1800 rs per quental
Market Information: Onion - onion market rate?,onion market rate--RAHURI QUINTAL 14475 2000 100 1000
Field Preparation: Others - MSCB LINE PROBLEMS ?,MSCB OFFICE LA PATHPURAVA KARAVA
Plant Protection: Potato - FERT. OF POTATO?,APPLICATION OF FERT. UREA 108KG 30DAS
Weather: Others - WEATHER INFOERMATION,"CLOUDY WEATHER , RAIN CHANCES"
Fertilizer Use and Availability: Potato - fertilizer dose,"fertilizer dose-10:26:26: 2 bag, micronutrients 1bag,urea 2 bag"
Weather: Others - Farmer has asked about curremt weather condition of his tashil?,Partly cloudy no possibility of rain
Plant Protection: Tomato - BLIGHT ON TOMATO,BLIGHT ON TOMATO - BLUE COPPER 30 GM /15 LITER WATER SPRAY
Weather: Others - About Weather information?,Cloudy weather not possibility of rain
Nutrient Management: Pomegranate - ASKED FOR THE GROWTH OF FLOWER IN POMEGRANATE CROP,SPRAY 00:52:34 50 GM WITH BOOMFLOWER 30 ML IN 10 LTR OF WATER FOR THE GROWTH OF FLOWER IN POMEGRANATE CROP
Weather: Others - ASKED ABOUT WEATHER INFORMATION,ATMOSPHERE IS PARTLY CLOUDY WITH NO ANY CHANCES OF RAIN
Nutrient Management: Brinjal - ASKED FOR THE GROWTH OF BRINJAL PLANT,SPRAY 19:19:19 100 GM WITH MICROLLA 30 ML IN 10 LTR OF WATER FOR THE GROWTH OF BRINJAL PLANT
Fertilizer Use and Availability: Sugarcane (Noble Cane) - FERTILIZER DOSE ?,19 19 19 60 gm + Microlla 30 ml + bavistin 30 gm /15 litar water
Weather: Others - WEATHER INFORMATION,"CLOUDY WEATHER , NO RAIN CHANCES"
Plant Protection: Cucumber - wilt attack ?,drenching of humic acid 30 mili + redomil gold 30 graam / 15 litre water
Plant Protection: Bottle Gourd - cucurbits planting time ?,cucurbits planting time-january- february
Plant Protection: Potato - attack of caterpiller on potato,spray of profex super 30 ml + actra 5 gm + folicur 8 ml per pump
Plant Protection: Cluster Bean - attack of aphids on cluster bean,spray of areva 10 gm + dhanzyme gold 30 ml per pump on cluster bean
Plant Protection: Pomegranate - OILY SPOT ?,STREPOTOCYCLIN + BLUE COPPER
Plant Protection: Sugarcane (Noble Cane) - attack of stem borer on sugarcane,spray of nuvan 20 ml or proclem 10 gm per pump on sugarcane
Plant Protection: Sugarcane (Noble Cane) - weather in pune ?,climate info- partly cloudy and possibility of light rain.
Plant Protection: Maize (Makka) - WEEDISIDE ?,2 4 D
Seeds and Planting Material: Onion - VARIETIES OF ONION CROP?,"VARIETIES OF ONION CROP - BASWANT, PUSA RED, FULE SAFAD"
Plant Protection: Capsicum - shednet subcidy ?,50% shednet subcidy
Fertilizer Use and Availability: Paddy (Dhan) - FERTILIZER FOR PADDY,FERTILIZER FOR PADDY - 0;52;34 40 GM /15 LITER WATER SPRAY
Field Preparation: Others - weather ?,partly cloudy and possibility of light rainfall
Plant Protection: Onion - BLIGHT ON ONION,BLIGHT ON ONION - ANTRACALL 30 GM /15 LITER WATER SPRAY
Disease Reporting: Goat - attack of tickmites,use blitox powder
Government Schemes: Others - Govt. Schemes- Drip Irrigation subsidies.,"50-60 % subsidies, loan pls visit nearer nationalised bank."
Plant Protection: Other - WEEDISIDE ?,MIRA -71
Weather: Others - asked about weather forecasting ?,Cloudy weather and possibility of light rain
Plant Protection: Mango - Stem Borer,Nuwan 15 ML /15 Liter Water
Training and Exposure Visits: Others - farmer required dapoli university contact no,university contact no is 02358280238
Fertilizer Use and Availability: Custard Apple - fert dose,Spray 00-52-34 30gm+macrolla 30 ml/15lit of water.
Plant Protection: Pomegranate - Fertilizer Dose,Spray Boron 20gm/10lit of Water
Fertilizer Use and Availability: Tomato - fertilizer?,apply 0052;34 5 kg /acre
Nutrient Management: French Bean - fertilizer dose for French bean,apply DAP 1 bag + micronutrient 5 kg per acre French bean
Seeds: Wheat - VARITIES OF WHEAT?,"VARITIES OF WHEAT ARE (NIAW 301)???????,(NIAW917) ?????, (NIDW295)???????, HD 2189"
"Animal Nutrition: Bovine(Cow,Buffalo) - advisary of milk ?",??? ???????? ????????? ??? ????
Plant Protection: Cotton (Kapas) - weather in pune ?,climate info- partly cloudy and not possibility of light rain.
Market Information: Wheat - wheat market rate,wheat market rate -1500-1700 rs /qit
Plant Protection: Tomato - LEAF CURL ON tomato,LEAF CURL ON tomato - Confidor super 6 ml + + bavistin 30 gm + 15 ml perfect / 15 lit of water
Fertilizer Use and Availability: Onion - fertilizer dose for onion,fertilizer dose for onion- apply 1 bag dap + 35 kg mop 25 kg urea /acre
Plant Protection: Tomato - black spot on tomato,black spot on tomato -SPRAY BLUE COPPER 37.5 GM + 4 GM STREPTOCYCLINE / 15 LIT WATER
Agriculture Mechanization: Potato - spray for 35 days pototo,spray for 35 days pototo -spray 13:40:13 60 gm / 15 lit of water.
Market Information: Onion - MARKET RATE ?,5/10/14 LOCAL PUNE QUINTAL 7188 1800 700 1250 --''-- LOCAL PUNE-KHADKI QUINTAL 29 1600 400 1000 4/10/14 ---- KOLHAPUR QUINTAL 3687 2200 500 1400 --''-- ---- AURANGABAD QUINTAL 90 1300 300 800 --''-- ---- BHIVANDI QUINTAL 12 2500 1500 2000 --''-- LOCAL PUNE-KHADKI QUINTAL 6 1500 1500 1500
Weather: Others - Weather Information,"Partly cloudy, no possible of rain ."
Plant Protection: Pomegranate - fruit drop ?,spray of calcium 1.5gm +boron 2gm/lit water
Seeds and Planting Material: Chillies - VARITIES OF CHILLIES?,"VARITIES OF CHILLIES ARE MAINA, KRANTI, VIJAYA , SITARA , DAMINI, NIRMAL 805"
Plant Protection: Pigeon pea (red gram/arhar/tur) - Attack of Thrips?,Spray Karate10ml/15 Lit of Water.
Seeds: Sugarcane (Noble Cane) - VERIETIES?,"Sagarcane-CO- 86032, CO- 671, CO- 265, 94012. ??-86032, ??-94012, ??-265, ??-671."
Weather: Others - Asked About Weather Report ?,Cloudy weather NOT Possibility of light Rainfall
Plant Protection: Others - FARMER REQUESTED TO GIVE CURRENT STATUS OF WEATHER,CLOUDEY WEATHER AND POSSIBILITY OF LIGHT RAIN
Plant Protection: Others - Flower Drop,Spray Boom flower 20ml/15lit of Water.
Weather: Others - Weather Report?.,"???? ?????? ????? - ???? ???????, ?????? ??????? ?????? ???"
Weather: Others - WEATHER FORCAST?,DHAGAL WATAVARAN AHE
Fertilizer Use and Availability: Sugarcane (Noble Cane) - fertilizer dose of sugarcane,application of super phospet + urea
Plant Protection: Pomegranate - FUNGUS ATTACK?,????? ???? ???? ?? ?????? ?????? ??????? ?????
Plant Protection: Others - Govt. Schemes,REQUESTED TO to visit TAO.
Nutrient Management: Drum Stick - ASKED FOR THE GROWTH OF BEANS IN DRUMSTICK CROP,SPRAY 00:52:34 50 GM IN 10 LTR OF WATER FOR THE GROWTH OF BEANS IN DRUMSTICK CROP
Government Schemes: Others - sms activation?,Your Registration process successfully completed. ????? ?????? ????? ????????? ????? ?????? ???.
Bio-Pesticides and Bio-Fertilizers: Pomegranate - TO CONTROL ATTACK OF OILY SPOT ON POMEGRANATE CROP,SPRAY COPPER OXYCHLORIDE 25 GM WITH STREPTOCYCLIN 4 GM IN 10 LTR OF WATER TO CONTROL ATTACK OF OILY SPOT ON POMEGRANATE CROP
Plant Protection: Ginger - BLIGHT ATTACK?,??????? ?????30?????/15 ???? ??????????? ???? ?????? ?????.
Plant Protection: Ginger - ROOT ROT?,Drenching of Redomil Gold 30gm + humic acid 30 ml /15Lit of Water.
Bio-Pesticides and Bio-Fertilizers: Onion - TO CONTROL ATTACK OF SUCKING PEST ON ONION CROP,SPRAY DIMETHOATE 10 ML IN 10 LTR OF WATER TO CONTROL ATTACK OF SUCKING PEST ON ONION CROP
Plant Protection: Pomegranate - Thrips Attack ?,Confidor 6ml/15 Lit of Water.
Plant Protection: Pomegranate - THRIPS ON POMEGRENATE,THRIPS ON POMEGRENATE - CONFIDOR 15 ML /15 LITER WATER SPRAY
Weather: Others - Weather report ?,???? ?????? ????? ??????? ?????? ???. partly cloudy and possibility of light rainfall
Fertilizer Use and Availability: Soybean (bhat) - Fruit Borer Attack?,Spray fame 5ml/15 Lit of Water.
"Animal Breeding: Bovine(Cow,Buffalo) - animal managmnt",info given
Plant Protection: Cotton (Kapas) - Attack of Blight?,Spray M-45 30 gm/15 Lit of Water.
Seeds and Planting Material: Tomato - ASKED ABOUT TOMATO VARIETY,"ABHINAV ,ANUP ,1389"
Bio-Pesticides and Bio-Fertilizers: Cucumber - TO CONTROL ATTACK OF RED MITES ON CUCUMBER CROP,SPRAY WETTABLE SULPHUR 30 GM IN 15 LTR OF WATER TO CONTROL ATTACK OF POWDERY MILDEW & RED MITES ON CUCUMBER CROP
Plant Protection: Bhindi(Okra/Ladysfinger) - CATTERPILLOR ON BHINDI,CATTERPILLOR ON BHINDI - CLOROPAUYRIFOS 30 ML /15 LITER WATER SPRAY
Weather: Others - FARMER REQUESTED TO GIVE CURRENT STATUS OF WEATHER,CLOUDEY WEATHER AND NO POSSIBILITY OF RAIN
Plant Protection: Onion - ATTACK OF WHITE GRUB----,ATTACK OF WHITE GRUB---- APPLICATION OF THIMATE 3-5 KG /ACRE
Plant Protection: Sugarcane (Noble Cane) - STEM BORER ATTACK?,Spray Nuwan 20ml/15Lit of Water..acifet 20 gm o acitapramide 2gm /10lit
Training and Exposure Visits: Others - AGRI INFORMATION WEBSITE?,"WWW.MAHAAGRI.GOV.IN,WWW.AGRIPLAZA.IN ,WWW.TNAU.AC.IN"
Cultural Practices: Sorghum (Jowar/Great Millet) - variety of sorghum?,variety of sorghum- fule revati
